Sensor Model:   DT-670-CU-1.4L
Serial Number:  D6059358
Interpolation Method:   Straight Line
SetPoint Limit: 325.0      (Kelvin)
Data Format:    2      (Volts/Kelvin)
Number of Breakpoints:   36

No.   Units      Temperature (K)

  1  0.14703       475.0
  2  0.21870       445.0
  3  0.32600       400.0
  4  0.49026       330.0
  5  0.50464       325.0
  6  0.57365       295.0
  7  0.64188       265.0
  8  0.70892       235.0
  9  0.76367       210.0
 10  0.81737       185.0
 11  0.85932       165.0
 12  0.90032       145.0
 13  0.94007       125.0
 14  0.96885       110.0
 15  0.99668        95.0
 16  1.02338        80.0
 17  1.04891        65.0
 18  1.07337        50.0
 19  1.09399        37.0
 20  1.10253        32.0
 21  1.10831        29.0
 22  1.11283        27.0
 23  1.11570        26.0
 24  1.11946        25.0
 25  1.12591        24.0
 26  1.14116        23.0
 27  1.16331        22.0
 28  1.18203        21.0
 29  1.27613        15.0
 30  1.32415        12.5
 31  1.38358        10.0
 32  1.46201         7.5
 33  1.58141         4.4
 34  1.63373         2.6
 35  1.65443         1.6
 36  1.65683         1.4
