Sensor Model:   DT-670-CU-1.4L
Serial Number:  D6059358
Data Format:    2      (Volts/Kelvin)
SetPoint Limit: 325.0      (Kelvin)
Temperature coefficient:  1 (Negative)
Number of Breakpoints:   108

No.   Units      Temperature (K)

  1  9.06000e-02   500.000
  2  .110239       491.000
  3  .136555       479.500
  4  .179181       461.500
  5  .265393       425.500
  6  .349522       390.000
  7  .452797       346.000
  8  .504561       325.000
  9  .546103       307.000
 10  .585070       290.000
 11  .620340       274.500
 12  .653078       260.000
 13  .683306       246.500
 14  .712162       233.500
 15  .739656       221.000
 16  .765803       209.000
 17  .790617       197.500
 18  .814117       186.500
 19  .836310       176.000
 20  .857212       166.000
 21  .876839       156.500
 22  .895204       147.500
 23  .912326       139.000
 24  .928225       131.000
 25  .943900       123.000
 26  .958365       115.500
 27  .971651       108.500
 28  .984715       101.500
 29  .994805        96.000
 30  1.00296        91.500
 31  1.01101        87.000
 32  1.01896        82.500
 33  1.02680        78.000
 34  1.03453        73.500
 35  1.04216        69.000
 36  1.04968        64.500
 37  1.05809        59.400
 38  1.06623        54.400
 39  1.07524        48.800
 40  1.08446        43.000
 41  1.09015        39.400
 42  1.09403        37.000
 43  1.09718        35.100
 44  1.10010        33.400
 45  1.10277        31.900
 46  1.10518        30.600
 47  1.10732        29.500
 48  1.10917        28.600
 49  1.11093        27.800
 50  1.11261        27.100
 51  1.11420        26.500
 52  1.11568        26.000
 53  1.11703        25.600
 54  1.11856        25.200
 55  1.11992        24.900
 56  1.12149        24.600
 57  1.12342        24.300
 58  1.12500        24.100
 59  1.12688        23.900
 60  1.12918        23.700
 61  1.13194        23.500
 62  1.13522        23.300
 63  1.14108        23.000
 64  1.16130        22.100
 65  1.17137        21.600
 66  1.18211        21.000
 67  1.19519        20.200
 68  1.20910        19.300
 69  1.23185        17.800
 70  1.24578        16.900
 71  1.25773        16.150
 72  1.26844        15.500
 73  1.27870        14.900
 74  1.28847        14.350
 75  1.29865        13.800
 76  1.30931        13.250
 77  1.31946        12.750
 78  1.33007        12.250
 79  1.34118        11.750
 80  1.35284        11.250
 81  1.36508        10.750
 82  1.37797        10.250
 83  1.39019         9.800
 84  1.40303         9.350
 85  1.41659         8.900
 86  1.43090         8.450
 87  1.44598         8.000
 88  1.46361         7.500
 89  1.48395         6.950
 90  1.54279         5.420
 91  1.56514         4.820
 92  1.58003         4.400
 93  1.59133         4.060
 94  1.60003         3.780
 95  1.60773         3.520
 96  1.61538         3.250
 97  1.62327         2.960
 98  1.63084         2.670
 99  1.63658         2.440
100  1.64106         2.250
101  1.64483         2.080
102  1.64815         1.920
103  1.65082         1.780
104  1.65311         1.650
105  1.65504         1.530
106  1.65664         1.420
107  1.65690         1.400
108  1.65931         1.203
