Sensor Model:	DT-670-CU-1.4L
Serial Number:	D6059358
Data Format:	6	(Volts/Kelvin)
Setpoint Limit:	325

Measurement (V)	Temp (K)	Curvature
4.92884E-01	3.30034E+02	-3.35634E+01
5.02119E-01	3.26046E+02	-3.85166E+01
5.15963E-01	3.20060E+02	-4.59428E+01
5.27502E-01	3.15065E+02	-8.08340E+01
5.50599E-01	3.05035E+02	-7.14102E+01
5.84999E-01	2.90021E+02	-8.73039E+01
6.19156E-01	2.75013E+02	-1.00226E+02
6.53044E-01	2.60006E+02	-1.17580E+02
6.86612E-01	2.45007E+02	-1.35300E+02
7.19849E-01	2.30007E+02	-1.49264E+02
7.52728E-01	2.15006E+02	-1.68257E+02
7.85228E-01	1.99998E+02	-1.87158E+02
8.17294E-01	1.84995E+02	-2.23567E+02
8.48858E-01	1.70001E+02	-2.61078E+02
8.79912E-01	1.54993E+02	-3.22371E+02
9.10324E-01	1.39991E+02	-3.98555E+02
9.39996E-01	1.24995E+02	-5.05782E+02
9.68816E-01	1.09995E+02	-6.72113E+02
9.87479E-01	9.99927E+01	-7.68150E+02
9.98440E-01	9.39962E+01	-8.12311E+02
1.00923E+00	8.79985E+01	-9.34081E+02
1.01983E+00	8.19984E+01	-9.76199E+02
1.03023E+00	7.60049E+01	-1.04165E+03
1.04046E+00	7.00049E+01	-1.04749E+03
1.05049E+00	6.40092E+01	-1.09180E+03
1.06035E+00	5.80152E+01	-9.60297E+02
1.07007E+00	5.20165E+01	-7.20055E+02
1.07966E+00	4.60175E+01	-9.10505E+02
1.08601E+00	4.20159E+01	7.77743E+01
1.09238E+00	3.80187E+01	4.06286E+03
1.09732E+00	3.50251E+01	6.49955E+03
1.10255E+00	3.20259E+01	8.57169E+03
1.10630E+00	3.00226E+01	1.26326E+04
1.10830E+00	2.90218E+01	1.56240E+04
1.11045E+00	2.80201E+01	2.01432E+04
1.11231E+00	2.72232E+01	2.42725E+04
1.11445E+00	2.64174E+01	2.70616E+04
1.11696E+00	2.56211E+01	2.72411E+04
1.11934E+00	2.50249E+01	2.44181E+04
1.12257E+00	2.44274E+01	1.73581E+04
1.12770E+00	2.38258E+01	7.03484E+03
1.13661E+00	2.32251E+01	1.48841E+03
1.14943E+00	2.26298E+01	-9.51558E+01
1.16683E+00	2.18286E+01	-6.43827E+02
1.18120E+00	2.10486E+01	-4.76766E+02
1.19715E+00	2.00716E+01	-2.21001E+02
1.21215E+00	1.90981E+01	-5.66885E+01
1.22683E+00	1.81305E+01	6.29358E+01
1.24171E+00	1.71622E+01	1.32650E+02
1.25708E+00	1.61922E+01	1.81275E+02
1.27320E+00	1.52207E+01	2.21377E+02
1.29048E+00	1.42416E+01	2.30149E+02
1.30934E+00	1.32505E+01	2.24926E+02
1.33011E+00	1.22498E+01	1.96169E+02
1.35319E+00	1.12370E+01	1.70737E+02
1.37917E+00	1.02067E+01	1.52951E+02
1.40839E+00	9.17112E+00	1.35733E+02
1.44129E+00	8.13911E+00	9.72677E+01
1.47824E+00	7.10379E+00	5.32531E+01
1.51768E+00	6.07321E+00	-9.38735E+00
1.55657E+00	5.05096E+00	-4.09395E+01
1.58739E+00	4.17942E+00	-1.90613E+02
1.60242E+00	3.69966E+00	-2.08183E+02
1.61673E+00	3.20027E+00	-1.88147E+02
1.62749E+00	2.79906E+00	-1.93093E+02
1.63751E+00	2.40049E+00	-4.64926E+02
1.64639E+00	2.00553E+00	-1.01273E+03
1.65223E+00	1.70060E+00	-2.06741E+03
1.65686E+00	1.40301E+00	-5.06401E+03
1.65813E+00	1.30430E+00	-7.59704E+03
1.65931E+00	1.20268E+00	-9.92773E+03
