Temperature             Voltage
(Kelvin)                (Volts)

1.20268327113609E+00   1.65931
1.30430476732735E+00   1.65813
1.40301021662730E+00   1.65686
1.70060126535611E+00   1.65223
2.00552806615886E+00   1.64639
2.40048629243221E+00   1.63751
2.79905937174241E+00   1.62749
3.20026860498348E+00   1.61673
3.69965567093645E+00   1.60242
4.17941799476284E+00   1.58739
5.05095891386428E+00   1.55657
6.07321021992696E+00   1.51768
7.10379377132553E+00   1.47824
8.13911467804845E+00   1.44129
9.17111634397076E+00   1.40839
1.02067230847977E+01   1.37917
1.12370257674885E+01   1.35319
1.22498000166336E+01   1.33011
1.32505380797564E+01   1.30934
1.42416287017165E+01   1.29048
1.52207014344173E+01   1.27320
1.61922299598801E+01   1.25708
1.71621778947199E+01   1.24171
1.81304996081732E+01   1.22683
1.90980972824923E+01   1.21215
2.00716486352956E+01   1.19715
2.10486493162083E+01   1.18120
2.18285727465724E+01   1.16683
2.26298324001498E+01   1.14943
2.32251398262339E+01   1.13661
2.38257860071341E+01   1.12770
2.44274189554881E+01   1.12257
2.50249218681866E+01   1.11934
2.56210924746866E+01   1.11696
2.64173995356021E+01   1.11445
2.72232255748049E+01   1.11231
2.80201335843535E+01   1.11045
2.90217857846601E+01   1.10830
3.00226230242898E+01   1.10630
3.20258908342839E+01   1.10255
3.50251483218051E+01   1.09732
3.80186685615882E+01   1.09238
4.20158685640202E+01   1.08601
4.60175175926930E+01   1.07966
5.20164515272822E+01   1.07007
5.80151904497041E+01   1.06035
6.40091784546041E+01   1.05049
7.00048800743443E+01   1.04046
7.60049258924072E+01   1.03023
8.19983994799184E+01   1.01983
8.79985484032134E+01   1.00923
9.39962357647370E+01   0.99844
9.99927127963977E+01   0.98748
1.09994987397579E+02   0.96882
1.24994696690357E+02   0.94000
1.39990707984616E+02   0.91032
1.54992764240770E+02   0.87991
1.70001428682363E+02   0.84886
1.84994843126098E+02   0.81729
1.99998499964354E+02   0.78523
2.15005873450416E+02   0.75273
2.30007401428667E+02   0.71985
2.45007373727421E+02   0.68661
2.60005523531193E+02   0.65304
2.75012793353129E+02   0.61916
2.90021387517926E+02   0.58500
3.05034652388758E+02   0.55060
3.15064833030799E+02   0.52750
3.20060324084519E+02   0.51596
3.26045776813096E+02   0.50212
3.30033762083135E+02   0.49288
