Temp.     Voltage    Sensitivity
(Kelvin)  (Volts)    (milliVolts/Kelvin)

   1.400   1.65690    -1.354657E+01
   1.500   1.65548    -1.489688E+01
   1.600   1.65392    -1.619369E+01
   1.700   1.65224    -1.743695E+01
   1.800   1.65044    -1.861108E+01
   1.900   1.64852    -1.970011E+01
   2.000   1.64650    -2.070404E+01
   2.100   1.64438    -2.163059E+01
   2.200   1.64218    -2.248930E+01
   2.300   1.63989    -2.328021E+01
   2.400   1.63752    -2.400330E+01
   2.500   1.63509    -2.465012E+01
   2.600   1.63260    -2.521205E+01
   2.700   1.63005    -2.568909E+01
   2.800   1.62746    -2.608125E+01
   2.900   1.62484    -2.643687E+01
   3.000   1.62217    -2.680253E+01
   3.100   1.61947    -2.717823E+01
   3.200   1.61674    -2.756398E+01
   3.300   1.61396    -2.796949E+01
   3.400   1.61114    -2.840460E+01
   3.500   1.60828    -2.886930E+01
   3.600   1.60537    -2.936359E+01
   3.700   1.60241    -2.988749E+01
   3.800   1.59939    -3.044525E+01
   3.900   1.59632    -3.104109E+01
   4.000   1.59318    -3.167502E+01
   4.200   1.58671    -3.305517E+01
   4.400   1.57996    -3.436624E+01
   4.600   1.57298    -3.545916E+01
   4.800   1.56579    -3.633392E+01
   5.000   1.55846    -3.699052E+01
   5.200   1.55101    -3.746778E+01
   5.400   1.54348    -3.786210E+01
   5.600   1.53587    -3.817803E+01
   5.800   1.52821    -3.841556E+01
   6.000   1.52051    -3.857470E+01
   6.500   1.50121    -3.851162E+01
   7.000   1.48213    -3.763827E+01
   7.500   1.46368    -3.613277E+01
   8.000   1.44604    -3.437943E+01
   8.500   1.42933    -3.246574E+01
   9.000   1.41357    -3.059352E+01
   9.500   1.39872    -2.880439E+01
  10.000   1.38473    -2.720052E+01
  10.500   1.37149    -2.577860E+01
  11.000   1.35893    -2.448872E+01
  11.500   1.34698    -2.331867E+01
  12.000   1.33560    -2.223329E+01
  12.500   1.32474    -2.122556E+01
  13.000   1.31436    -2.028503E+01
  13.500   1.30444    -1.941295E+01
  14.000   1.29493    -1.862752E+01
  14.500   1.28580    -1.793021E+01
  15.000   1.27699    -1.731229E+01
  15.500   1.26847    -1.677358E+01
  16.000   1.26020    -1.631977E+01
  16.500   1.25214    -1.594814E+01
  17.000   1.24424    -1.564527E+01
  17.500   1.23648    -1.541084E+01
  18.000   1.22882    -1.524805E+01
  18.500   1.22122    -1.516601E+01
  19.000   1.21364    -1.518725E+01
  19.500   1.20601    -1.533389E+01
  20.000   1.198275   -1.564874E+01
  21.000   1.182030   -1.705884E+01
  22.000   1.163309   -2.096217E+01
  23.000   1.141155   -2.138366E+01
  24.000   1.125909   -9.424390E+00
  25.000   1.119455   -4.587383E+00
  26.000   1.115696   -3.161224E+00
  27.000   1.112875   -2.555426E+00
  28.000   1.110491   -2.243837E+00
  29.000   1.108344   -2.064708E+00
  30.000   1.106340   -1.950829E+00
  31.000   1.104431   -1.869522E+00
  32.000   1.102593   -1.809257E+00
  33.000   1.100808   -1.762966E+00
  34.000   1.099065   -1.722829E+00
  35.000   1.097360   -1.688842E+00
  36.000   1.095686   -1.660303E+00
  37.000   1.094038   -1.636440E+00
  38.000   1.092412   -1.617252E+00
  39.000   1.090802   -1.602482E+00
  40.000   1.089205   -1.591853E+00
  42.000   1.086033   -1.583016E+00
  44.000   1.082866   -1.584484E+00
  46.000   1.079693   -1.589798E+00
  48.000   1.076506   -1.596863E+00
  50.000   1.073305   -1.603513E+00
  52.000   1.070092   -1.609746E+00
  54.000   1.066866   -1.616142E+00
  56.000   1.063627   -1.623298E+00
  58.000   1.060373   -1.631214E+00
  60.000   1.057102   -1.639788E+00
  65.000   1.048845   -1.663581E+00
  70.000   1.040464   -1.688668E+00
  75.000   1.031957   -1.714417E+00
  77.350   1.027913   -1.726839E+00
  80.000   1.023319   -1.740817E+00
  85.000   1.014549   -1.767103E+00
  90.000   1.005647   -1.793409E+00
  95.000   0.996618   -1.818253E+00
 100.000   0.987466   -1.842372E+00
 105.000   0.978195   -1.866083E+00
 110.000   0.968806   -1.889164E+00
 115.000   0.959304   -1.911288E+00
 120.000   0.949695   -1.932128E+00
 125.000   0.939985   -1.951684E+00
 130.000   0.930180   -1.970129E+00
 135.000   0.920286   -1.987633E+00
 140.000   0.910306   -2.004198E+00
 145.000   0.900245   -2.019930E+00
 150.000   0.890108   -2.034934E+00
 155.000   0.879897   -2.049211E+00
 160.000   0.869617   -2.062790E+00
 165.000   0.859270   -2.075702E+00
 170.000   0.848861   -2.087945E+00
 175.000   0.838392   -2.099652E+00
 180.000   0.827865   -2.110955E+00
 185.000   0.817283   -2.121854E+00
 190.000   0.806647   -2.132324E+00
 195.000   0.795960   -2.142342E+00
 200.000   0.785224   -2.151906E+00
 205.000   0.774442   -2.161140E+00
 210.000   0.763613   -2.170165E+00
 215.000   0.752740   -2.178981E+00
 220.000   0.741824   -2.187573E+00
 225.000   0.730865   -2.195928E+00
 230.000   0.719865   -2.204045E+00
 235.000   0.708825   -2.211957E+00
 240.000   0.697746   -2.219696E+00
 245.000   0.686628   -2.227263E+00
 250.000   0.675473   -2.234613E+00
 255.000   0.664283   -2.241699E+00
 260.000   0.653057   -2.248521E+00
 265.000   0.641798   -2.255072E+00
 270.000   0.630507   -2.261341E+00
 273.150   0.623377   -2.265146E+00
 275.000   0.619185   -2.267328E+00
 280.000   0.607834   -2.273068E+00
 285.000   0.596455   -2.278595E+00
 290.000   0.585048   -2.283908E+00
 295.000   0.573616   -2.288970E+00
 300.000   0.562159   -2.293743E+00
 305.000   0.550679   -2.298226E+00
 310.000   0.539177   -2.302716E+00
 315.000   0.527651   -2.307520E+00
 320.000   0.516103   -2.311449E+00
 325.000   0.504539   -2.314105E+00
